TEAM,MATCH_UP,GAME_DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,DREB%,REB%,TS%,PACE,PIE,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFF TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
OKC,OKC @ LAC,8/14/20,L,53,103,38,106,35.8,14,44,31.8,13,22,59.1,11,37,48,18,16,5,6,29,-4,89.6,94.7,-5.1,47.4,1.13,11.8,74.1,48.8,44.5,103.25,36,0.425,0.208,13.9,0.282,0.471,0.459,20.4,0.259,30,10,10,42,27,9,20,42,58.5,41.5,46.6,5.8,40.8,9.7,12.6,29.1,40.8,33.3,66.7,71.4,28.6,47.4,52.6
TOR,TOR vs. DEN,8/14/20,W,48,117,45,90,50,18,35,51.4,9,14,64.3,13,38,51,27,19,8,5,24,8,117,109,8,60,1.42,18.8,75.5,55.3,60.8,100,50.7,0.6,0.156,19,0.34,0.506,0.264,16,0.245,27,15,21,48,22,13,25,32,61.1,38.9,46.2,5.1,46.2,17.9,7.7,23.1,41,48.1,51.9,77.8,22.2,60,40
IND,IND vs. MIA,8/14/20,W,48,109,43,89,48.3,15,38,39.5,8,11,72.7,12,39,51,32,20,11,3,27,17,107.9,91.1,16.8,74.4,1.6,21.8,70.5,51.8,58.1,101,63.7,0.567,0.124,19.8,0.286,0.414,0.31,18.8,0.295,20,18,13,46,20,11,2,36,57.3,42.7,51.4,9.2,41.3,11.9,7.3,18.3,42.2,64.3,35.7,93.3,6.7,74.4,25.6
LAC,LAC vs. OKC,8/14/20,W,53,107,34,85,40,12,37,32.4,27,39,69.2,12,49,61,23,23,10,2,22,4,94.7,89.6,5.1,67.6,1,15.2,71.8,51.2,52.4,103.25,64,0.471,0.459,20.4,0.259,0.425,0.208,13.9,0.282,27,9,20,42,30,10,10,42,56.5,43.5,41.1,1.9,33.6,18.7,25.2,25.2,39.3,54.5,45.5,91.7,8.3,67.6,32.4
MIA,MIA @ IND,8/14/20,L,48,92,31,87,35.6,10,38,26.3,20,27,74.1,14,34,48,14,19,6,5,15,-17,91.1,107.9,-16.8,45.2,0.74,10.6,71.4,48.2,46.5,101,36.3,0.414,0.31,18.8,0.295,0.567,0.124,19.8,0.286,20,11,2,36,20,18,13,46,56.3,43.7,45.7,6.5,32.6,2.2,21.7,21.7,39.1,23.8,76.2,90,10,45.2,54.8
DEN,DEN @ TOR,8/14/20,L,48,109,36,87,41.4,16,38,42.1,21,23,91.3,9,32,41,27,16,9,11,15,-8,109,117,-8,75,1.69,19.3,66,44.7,56.1,100,49.3,0.506,0.264,16,0.245,0.6,0.156,19,0.34,22,13,25,32,27,15,21,48,56.3,43.7,36.7,7.3,44,22.9,19.3,20.2,29.4,65,35,87.5,12.5,75,25
PHI,PHI @ HOU,8/14/20,W,48,134,49,87,56.3,18,38,47.4,18,22,81.8,8,43,51,31,16,8,4,19,38,128.8,93.2,35.6,63.3,1.94,21.1,95.7,65.1,69.3,103.5,64.4,0.667,0.253,15.4,0.3,0.513,0.2,16.5,0.043,27,17,9,54,24,2,18,42,56.3,43.7,46.3,6,40.3,6.7,13.4,20.1,40.3,58.1,41.9,72.2,27.8,63.3,36.7
HOU,HOU vs. PHI,8/14/20,L,48,96,35,80,43.8,12,48,25,14,16,87.5,1,26,27,25,17,10,9,18,-38,93.2,128.8,-35.6,71.4,1.47,19.2,70,34.9,55.1,103.5,35.6,0.513,0.2,16.5,0.043,0.667,0.253,15.4,0.3,24,2,18,42,27,17,9,54,40,60,47.9,4.2,37.5,18.8,14.6,25,43.8,60.9,39.1,91.7,8.3,71.4,28.6
LAL,LAL vs. SAC,8/13/20,L,48,122,48,98,49,15,35,42.9,11,15,73.3,15,32,47,29,17,6,1,18,-14,115.1,128.3,-13.2,60.4,1.71,19.3,75,52.1,58.3,106,41.9,0.566,0.153,16,0.327,0.679,0.126,14.2,0.25,18,16,5,54,27,12,21,58,64.3,35.7,54.1,9.8,36.9,4.1,9,14.8,44.3,51.5,48.5,80,20,60.4,39.6
MEM,MEM vs. MIL,8/13/20,W,48,119,45,90,50,13,33,39.4,16,23,69.6,9,46,55,36,18,4,3,18,13,108.2,96.4,11.8,80,2,22.9,79.4,54.5,59.4,110,60.9,0.572,0.256,16.4,0.224,0.464,0.235,13.6,0.206,18,6,13,54,14,7,4,30,63.3,36.7,53.8,8.4,32.8,10.9,13.4,15.1,45.4,71.9,28.1,100,0,80,20
